"polygon_id","polygon_name","polygon_level","polygon_version","country","business_vertical","activity_quantile","latitude","longitude","ds"
"ESP.5.6_1","Segovia","GADM2","3.6","ES","All","0.6643649684285654","41.17107294284954","-4.054291582693536","2024-10-30"
"ESP.5.6_1","Segovia","GADM2","3.6","ES","Business & Utility Services","0.5828424800018561","41.17107294284954","-4.054291582693536","2024-10-30"
"ESP.5.6_1","Segovia","GADM2","3.6","ES","Manufacturing","0.37425554249987814","41.17107294284954","-4.054291582693536","2024-10-30"
"ESP.5.6_1","Segovia","GADM2","3.6","ES","Public Good","0.5475167679041846","41.17107294284954","-4.054291582693536","2024-10-30"
"ESP.5.6_1","Segovia","GADM2","3.6","ES","Travel","0.5825425661609046","41.17107294284954","-4.054291582693536","2024-10-30"
"ESP.5.6_1","Segovia","GADM2","3.6","ES","Retail","0.6315488286492579","41.17107294284954","-4.054291582693536","2024-10-30"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","Retail","0.6666536932402146","39.793768027282304","-4.147935709854904","2024-10-30"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","Local Events","0.8609951299153672","39.793768027282304","-4.147935709854904","2024-10-30"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","Home Services","0.7240650536048483","39.793768027282304","-4.147935709854904","2024-10-30"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","Business & Utility Services","0.6262427099972327","39.793768027282304","-4.147935709854904","2024-10-30"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","Grocery & Convenience Stores","0.6455879111850058","39.793768027282304","-4.147935709854904","2024-10-30"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","Lifestyle Services","0.6227940642519966","39.793768027282304","-4.147935709854904","2024-10-30"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","All","0.7001187525628392","39.793768027282304","-4.147935709854904","2024-10-30"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","Travel","0.5928520265320607","39.793768027282304","-4.147935709854904","2024-10-30"
