"start_latitude","start_longitude","end_latitude","end_longitude","length_km","start_quadkey","end_quadkey","country","date_time","n_baseline","n_crisis","n_difference","percent_change","z_score","ds"
"41.50034906856355","2.1203613281250004","41.50034906856355","2.1203613281250004","0.0","12022223300000","12022223300000","ES","2024-11-06 16:00","431.13047272249696","464.0","32.86952727750304","7.606389586556882","0.680393645701207","2024-11-06"
"41.50034906856355","2.1203613281250004","41.51680343533867","2.120361328125","1.8296449783716562","12022223300000","12022223122222","ES","2024-11-06 16:00","16.5","12.0","-4.5","-25.714285714285715","-1.5619728026264028","2024-11-06"
"41.50034906856355","2.1203613281250004","41.50034906856355","2.142333984375","1.8298774959218977","12022223300000","12022223300001","ES","2024-11-06 16:00","10.333333333333334","12.0","1.666666666666666","14.70588235294117","0.2880995106230628","2024-11-06"
"38.00481945538502","-3.4826660156249996","38.00481945538502","-3.4826660156249996","0.0","03311121302223","03311121302223","ES","2024-11-06 16:00","114.83333333333333","105.0","-9.833333333333329","-8.48920863309352","-0.31947855489346294","2024-11-06"
"41.631866887682655","-4.713134765625","41.66470450700676","-4.713134765625","3.651382403171189","03133322123001","03133322121221","ES","2024-11-06 16:00","14.5","11.0","-3.5","-22.580645161290324","-0.9128709291752769","2024-11-06"
"41.631866887682655","-4.713134765625","41.61544180170178","-4.691162109375","2.5829042381282648","03133322123001","03133322123012","ES","2024-11-06 16:00","","11.0","","","","2024-11-06"
"41.631866887682655","-4.713134765625","41.631866887682655","-4.735107421875","1.826156489827042","03133322123001","03133322123000","ES","2024-11-06 16:00","31.5","32.0","0.5","1.5384615384615385","0.16222142113076252","2024-11-06"
"41.631866887682655","-4.713134765625","41.59901253188658","-4.713134765625","3.6532434168663346","03133322123001","03133322123021","ES","2024-11-06 16:00","11.166666666666666","13.0","1.833333333333334","15.068493150684938","0.675469782334978","2024-11-06"
"41.631866887682655","-4.713134765625","41.61544180170178","-4.713134765624999","1.8263890974932744","03133322123001","03133322123003","ES","2024-11-06 16:00","11.166666666666666","","","","","2024-11-06"
"41.631866887682655","-4.713134765625","41.66470450700676","-4.735107421875","4.082369630001735","03133322123001","03133322121220","ES","2024-11-06 16:00","","13.0","","","","2024-11-06"
"41.631866887682655","-4.713134765625","41.64828778954518","-4.713134765625","1.825923844028861","03133322123001","03133322121223","ES","2024-11-06 16:00","37.666666666666664","41.0","3.3333333333333357","8.620689655172422","0.7975790340283714","2024-11-06"
"41.631866887682655","-4.713134765625","41.631866887682655","-4.713134765625","0.0","03133322123001","03133322123001","ES","2024-11-06 16:00","749.8333333333334","821.0","71.16666666666663","9.478357380688118","1.0671012454128694","2024-11-06"
"41.631866887682655","-4.713134765625","41.64828778954518","-4.735107421875001","2.5822462703566136","03133322123001","03133322121222","ES","2024-11-06 16:00","18.666666666666668","27.0","8.333333333333332","42.37288135593219","1.5900682853587007","2024-11-06"
"38.056741709394856","-4.053955078125","38.056741709394856","-4.053955078125","0.0","03311121202311","03311121202311","ES","2024-11-06 16:00","","10.0","","","","2024-11-06"
"38.31580049444484","-0.516357421875","38.31580049444484","-0.516357421875","0.0","03311131123202","03311131123202","ES","2024-11-06 16:00","50.0","36.0","-14.0","-27.45098039215686","-3.6893239368631097","2024-11-06"
"38.298558579947574","-0.736083984375","38.298558579947574","-0.736083984375","0.0","03311131033330","03311131033330","ES","2024-11-06 16:00","24.833333333333332","22.0","-2.833333333333332","-10.967741935483867","-0.6072977998165909","2024-11-06"
"37.34395858148956","-2.427978515625","37.34395858148956","-2.427978515625","0.0","03311132030203","03311132030203","ES","2024-11-06 16:00","72.83333333333333","79.0","6.166666666666671","8.352144469525967","0.4716227556600017","2024-11-06"
"40.23760484645008","-3.328857421875","40.23760484645008","-3.328857421875","0.0","03311101303200","03311101303200","ES","2024-11-06 16:00","19.0","20.0","1.0","5.0","0.16484511834894677","2024-11-06"
"39.42770686793681","-0.8020019531249999","39.42770686793681","-0.8020019531249999","0.0","03311113033211","03311113033211","ES","2024-11-06 16:00","89.33333333333333","131.0","41.66666666666667","46.12546125461255","4.0","2024-11-06"
"41.51680343533867","-4.669189453125","41.51680343533867","-4.669189453125","0.0","03133322123233","03133322123233","ES","2024-11-06 16:00","46.333333333333336","36.0","-10.333333333333336","-21.83098591549296","-1.2617899915477406","2024-11-06"
"41.269548980650846","1.593017578125","41.269548980650846","1.593017578125","0.0","12022223203220","12022223203220","ES","2024-11-06 16:00","173.83333333333334","198.0","24.166666666666657","13.82268827454718","1.2594894067502154","2024-11-06"
"38.88248068286238","1.3952636718750002","38.98503227187443","1.307373046875","13.704981527206698","12200002333311","12200002331231","ES","2024-11-06 16:00","17.333333333333332","","","","","2024-11-06"
"38.88248068286238","1.3952636718750002","38.88248068286238","1.3732910156249998","1.9019129632287","12200002333311","12200002333310","ES","2024-11-06 16:00","15.0","","","","","2024-11-06"
"38.88248068286238","1.3952636718750002","38.88248068286238","1.3952636718750002","0.0","12200002333311","12200002333311","ES","2024-11-06 16:00","462.3333333333333","57.0","-405.3333333333333","-87.4820143884892","-2.771431959231149","2024-11-06"
"38.88248068286238","1.3952636718750002","38.91668102155377","1.4392089843750002","5.378127047695281","12200002333311","12200003222021","ES","2024-11-06 16:00","18.5","","","","","2024-11-06"
"38.88248068286238","1.3952636718750002","38.89958291122775","1.4172363281249998","2.689387331646204","12200002333311","12200003222022","ES","2024-11-06 16:00","30.166666666666668","","","","","2024-11-06"
