"start_latitude","start_longitude","end_latitude","end_longitude","length_km","start_quadkey","end_quadkey","country","date_time","n_baseline","n_crisis","n_difference","percent_change","z_score","ds"
"40.38839635404193","-4.207763671875","40.38839635404193","-4.207763671875","0.0","03311101200022","03311101200022","ES","2024-11-03 08:00","53.857142857142854","74.0","20.142857142857146","36.71875000000001","3.19247556060467","2024-11-03"
"38.64261739260935","-0.076904296875","38.64261739260935","-0.076904296875","0.0","03311131113120","03311131113120","ES","2024-11-03 08:00","25.142857142857142","28.0","2.8571428571428577","10.928961748633883","0.7342230982143524","2024-11-03"
"39.59722272764313","-0.845947265625","39.59722272764313","-0.845947265625","0.0","03311113031021","03311113031021","ES","2024-11-03 08:00","","16.0","","","","2024-11-03"
"41.53325362001415","2.186279296875","41.51680343533867","2.186279296875","1.8291799493779342","12022223122231","12022223122233","ES","2024-11-03 08:00","17.0","19.0","2.0","11.11111111111111","0.5","2024-11-03"
"41.53325362001415","2.186279296875","41.53325362001415","2.186279296875","0.0","12022223122231","12022223122231","ES","2024-11-03 08:00","1010.0","1133.0","123.0","12.166172106824925","1.1607562122454744","2024-11-03"
"37.848831996146686","-0.955810546875","37.848831996146686","-0.955810546875","0.0","03311131232100","03311131232100","ES","2024-11-03 08:00","23.285714285714285","30.0","6.714285714285715","27.647058823529417","1.5442379171851262","2024-11-03"
"36.782891556856356","-2.625732421875","36.782891556856356","-2.625732421875","0.0","03311132221202","03311132221202","ES","2024-11-03 08:00","22.714285714285715","26.0","3.2857142857142847","13.855421686746983","0.9522904718924485","2024-11-03"
"39.96870022636765","-0.09887695312499999","39.96870022636765","-0.09887695312499999","0.0","03311111333211","03311111333211","ES","2024-11-03 08:00","","11.0","","","","2024-11-03"
"37.6229330856153","-1.7468261718750002","37.6229330856153","-1.7468261718750002","0.0","03311132110202","03311132110202","ES","2024-11-03 08:00","20.857142857142858","22.0","1.1428571428571423","5.228758169934638","0.39254693721047235","2024-11-03"
"41.54969962229724","2.208251953125","41.54969962229724","2.208251953125","0.0","12022223122302","12022223122302","ES","2024-11-03 08:00","1283.142857142857","1474.0","190.8571428571429","14.86260985649127","1.2405844326228335","2024-11-03"
"41.54969962229724","2.208251953125","41.53325362001415","2.208251953125","1.8287148878328063","12022223122302","12022223122320","ES","2024-11-03 08:00","60.285714285714285","47.0","-13.285714285714285","-21.678321678321677","-1.0720861769298768","2024-11-03"
"41.54969962229724","2.208251953125","41.54969962229724","2.230224609375","1.828482360148347","12022223122302","12022223122303","ES","2024-11-03 08:00","13.571428571428571","13.0","-0.5714285714285712","-3.921568627450979","-0.11757927025044303","2024-11-03"
"39.35978475221358","-1.5930175781249998","39.35978475221358","-1.5930175781249998","0.0","03311112310111","03311112310111","ES","2024-11-03 08:00","287.7142857142857","326.0","38.28571428571428","13.260761999010388","0.9416056417442569","2024-11-03"
"39.816974572435335","-0.252685546875","39.816974572435335","-0.230712890625","1.8766466258182695","03311113110302","03311113110303","ES","2024-11-03 08:00","12.448317775138836","","","","","2024-11-03"
"39.816974572435335","-0.252685546875","39.816974572435335","-0.252685546875","0.0","03311113110302","03311113110302","ES","2024-11-03 08:00","58.857142857142854","87.0","28.142857142857146","47.01670644391409","4.0","2024-11-03"
"40.92181389105531","0.208740234375","40.92181389105531","0.208740234375","0.0","12200000001023","12200000001023","ES","2024-11-03 08:00","35.285714285714285","36.0","0.7142857142857153","1.968503937007877","0.10392637415131763","2024-11-03"
"37.762029375801326","-0.9338378906250001","37.762029375801326","-0.9338378906250001","0.0","03311131232303","03311131232303","ES","2024-11-03 08:00","12.142857142857142","17.0","4.857142857142858","36.956521739130444","2.48854518601876","2024-11-03"
"41.73032952724247","-1.043701171875","41.73032952724247","-1.043701171875","0.0","03133333030020","03133333030020","ES","2024-11-03 08:00","117.14285714285714","137.0","19.85714285714286","16.807738814993957","1.5164037401333497","2024-11-03"
"39.80009543834965","3.109130859375","39.7663247386586","3.153076171875","5.310564757102466","12200012001321","12200012003111","ES","2024-11-03 08:00","13.034605579490357","","","","","2024-11-03"
"39.80009543834965","3.109130859375","39.80009543834965","3.109130859375","0.0","12200012001321","12200012001321","ES","2024-11-03 08:00","324.7142857142857","28.0","-296.7142857142857","-91.09649122807018","-3.9886195737023815","2024-11-03"
"39.80009543834965","3.109130859375","39.816974572435335","3.109130859375","1.876877022445807","12200012001321","12200012001303","ES","2024-11-03 08:00","11.27666146681012","","","","","2024-11-03"
"40.421859842105285","-3.856201171875","40.421859842105285","-3.856201171875","0.0","03311101210002","03311101210002","ES","2024-11-03 08:00","16.0","17.0","1.0","5.882352941176471","0.2526455763199557","2024-11-03"
"39.63107625265483","-3.3288574218750004","39.63107625265483","-3.3288574218750004","0.0","03311103121000","03311103121000","ES","2024-11-03 08:00","99.68064622878167","121.0","21.31935377121833","21.175225398110076","1.7484685287463138","2024-11-03"
"40.971603011346815","-4.141845703125","40.971603011346815","-4.141845703125","0.0","03311101000011","03311101000011","ES","2024-11-03 08:00","25.099942468046265","24.0","-1.0999424680462653","-4.214348247674902","-0.37140598799494823","2024-11-03"
"39.46164312521604","2.889404296875","39.46164312521604","2.889404296875","0.0","12200012022031","12200012022031","ES","2024-11-03 08:00","12.142857142857142","14.0","1.8571428571428577","14.1304347826087","0.5482093499794225","2024-11-03"
"41.51680343533867","-1.614990234375","41.51680343533867","-1.614990234375","0.0","03133332132332","03133332132332","ES","2024-11-03 08:00","17.571428571428573","19.0","1.428571428571427","7.6923076923076845","0.3049026118730222","2024-11-03"
