"start_latitude","start_longitude","end_latitude","end_longitude","movement_geometry","length_km","start_polygon_id","end_polygon_id","start_polygon_name","end_polygon_name","polygon_level","polygon_version","country","date_time","n_baseline","n_crisis","n_difference","percent_change","z_score","ds"
"-24.935150749902032","149.93876527600787","-24.176791870227937","151.30702262446064","LINESTRING (149.93876527600787 -24.935150749902032, 151.30702262446064 -24.176791870227937)","162.0496328999457","AUS.7.3_1","AUS.7.27_1","Banana","Gladstone","GADM2","3.6","AU","2023-12-18 08:00","26.5","27.0","0.5","1.8181818181818181","0.20584674239815456","2023-12-18"
"-24.935150749902032","149.93876527600787","-24.031469951689356","148.41590668741043","LINESTRING (149.93876527600787 -24.935150749902032, 148.41590668741043 -24.031469951689356)","183.97149661652634","AUS.7.3_1","AUS.7.16_1","Banana","Central Highlands","GADM2","3.6","AU","2023-12-18 08:00","20.666666666666668","19.0","-1.6666666666666679","-7.692307692307698","-0.23322762743014142","2023-12-18"
"-16.607856731411633","145.50560371428833","-17.959401937043722","145.9258109747933","LINESTRING (145.50560371428833 -16.607856731411633, 145.9258109747933 -17.959401937043722)","156.76745628859348","AUS.7.13_1","AUS.7.15_1","Cairns","Cassowary Coast","GADM2","3.6","AU","2023-12-18 08:00","60.5","57.0","-3.5","-5.691056910569106","-0.46980923864981694","2023-12-18"
"-16.607856731411633","145.50560371428833","-19.39103264945114","146.71166780291938","LINESTRING (145.50560371428833 -16.607856731411633, 146.71166780291938 -19.39103264945114)","334.72164846404866","AUS.7.13_1","AUS.7.67_1","Cairns","Townsville","GADM2","3.6","AU","2023-12-18 08:00","15.333333333333334","23.0","7.666666666666666","46.938775510204074","1.834431778265252","2023-12-18"
"-29.05963131151029","153.04628509196272","-29.05963131151029","153.04628509196272","POINT (153.04628509196272 -29.05963131151029)","0.0","AUS.5.113_1","AUS.5.113_1","Richmond Valley","Richmond Valley","GADM2","3.6","AU","2023-12-18 08:00","3490.8333333333335","3559.0","68.16666666666652","1.9521741205670329","0.8985986147390479","2023-12-18"
"-29.05963131151029","153.04628509196272","-28.852907265766294","153.48617997335433","LINESTRING (153.04628509196272 -29.05963131151029, 153.48617997335433 -28.852907265766294)","48.58156788986452","AUS.5.113_1","AUS.5.5_1","Richmond Valley","Ballina","GADM2","3.6","AU","2023-12-18 08:00","84.16666666666667","79.0","-5.166666666666671","-6.066536203522511","-0.8111959648900193","2023-12-18"
"-20.700987018227323","147.72475464235913","-21.139238071107272","148.80364193026972","LINESTRING (147.72475464235913 -20.700987018227323, 148.80364193026972 -21.139238071107272)","122.19555844652098","AUS.7.70_1","AUS.7.40_1","Whitsunday","Mackay","GADM2","3.6","AU","2023-12-18 08:00","48.0","47.0","-1.0","-2.0408163265306123","-0.07996162762590016","2023-12-18"
"-15.970261848542545","145.31253239152937","-15.970261848542545","145.31253239152937","POINT (145.31253239152937 -15.970261848542545)","0.0","AUS.7.73_1","AUS.7.73_1","Wujal Wujal","Wujal Wujal","GADM2","3.6","AU","2023-12-18 08:00","14.330431279050202","","","","","2023-12-18"
"-28.02079379461351","142.59361712061295","-28.02079379461351","142.59361712061295","POINT (142.59361712061295 -28.02079379461351)","0.0","AUS.7.9_1","AUS.7.9_1","Bulloo","Bulloo","GADM2","3.6","AU","2023-12-18 08:00","107.16666666666667","106.0","-1.1666666666666714","-1.0785824345146422","-0.1724535537782014","2023-12-18"
"-27.43781487095533","153.0385871624391","-16.607856731411633","145.50560371428833","LINESTRING (153.0385871624391 -27.43781487095533, 145.50560371428833 -16.607856731411633)","1431.9072583875782","AUS.7.8_1","AUS.7.13_1","Brisbane","Cairns","GADM2","3.6","AU","2023-12-18 08:00","76.0","","","","","2023-12-18"
"-27.43781487095533","153.0385871624391","-26.405233333343965","151.64692911235403","LINESTRING (153.0385871624391 -27.43781487095533, 151.64692911235403 -26.405233333343965)","179.49729517864847","AUS.7.8_1","AUS.7.60_1","Brisbane","South Burnett","GADM2","3.6","AU","2023-12-18 08:00","10.0","","","","","2023-12-18"
"-27.43781487095533","153.0385871624391","-26.59273976182881","152.9112942336309","LINESTRING (153.0385871624391 -27.43781487095533, 152.9112942336309 -26.59273976182881)","94.8104923574204","AUS.7.8_1","AUS.7.62_1","Brisbane","Sunshine Coast","GADM2","3.6","AU","2023-12-18 08:00","330.8333333333333","318.0","-12.833333333333314","-3.8674033149171216","-0.21485291632124962","2023-12-18"
"-27.43781487095533","153.0385871624391","-19.39103264945114","146.71166780291938","LINESTRING (153.0385871624391 -27.43781487095533, 146.71166780291938 -19.39103264945114)","1102.8368449172722","AUS.7.8_1","AUS.7.67_1","Brisbane","Townsville","GADM2","3.6","AU","2023-12-18 08:00","58.666666666666664","48.0","-10.666666666666664","-17.877094972067038","-0.776570940986064","2023-12-18"
"-27.43781487095533","153.0385871624391","-28.75619739047753","153.2706505642181","LINESTRING (153.0385871624391 -27.43781487095533, 153.2706505642181 -28.75619739047753)","148.35432231445105","AUS.7.8_1","AUS.5.82_1","Brisbane","Lismore","GADM2","3.6","AU","2023-12-18 08:00","","10.0","","","","2023-12-18"
"-26.544285875993392","148.28736326478682","-26.841558916310547","150.34731587001653","LINESTRING (148.28736326478682 -26.544285875993392, 150.34731587001653 -26.841558916310547)","207.29520144240493","AUS.7.42_1","AUS.7.69_1","Maranoa","Western Downs","GADM2","3.6","AU","2023-12-18 08:00","19.0","32.0","13.0","65.0","3.5251199395531625","2023-12-18"
