"ds","polygon1_id","polygon1_name","latitude1","longitude1","polygon2_id","polygon2_name","latitude2","longitude2","metric_value","metric_name"
"2024-11-12","827650550921642","latvia","57.0","25.0","571822773304405","lithuania","55.5","24.0","2033","travel counts"
"2024-11-12","827650550921642","latvia","57.0","25.0","505239163341639","estonia","59.0","26.0","1319","travel counts"
"2024-11-12","827650550921642","latvia","57.0","25.0","1231810770328071","poland","52.0","19.0","1092","travel counts"
"2024-11-12","827650550921642","latvia","57.0","25.0","852597565113521","united kingdom","54.0","-2.0","1031","travel counts"
"2024-11-12","1025887597595017","georgia","42.016669444444","43.733330555556","2247289335332676","turkey","39.0","36.0","2077","travel counts"
"2024-11-12","362070071076950","netherlands","52.316666666667","5.55","475814519825093","belgium","51.0","5.0","70806","travel counts"
"2024-11-12","362070071076950","netherlands","52.316666666667","5.55","1317763431707213","germany","51.0","10.0","32103","travel counts"
"2024-11-12","312478709447704","portugal","38.7","-9.1833333333333","1080265735511471","spain","40.0","-3.0","17180","travel counts"
"2024-11-12","362070071076950","netherlands","52.316666666667","5.55","680120905754069","france","47.0","2.0","13444","travel counts"
"2024-11-12","362070071076950","netherlands","52.316666666667","5.55","852597565113521","united kingdom","54.0","-2.0","8660","travel counts"
"2024-11-12","312478709447704","portugal","38.7","-9.1833333333333","680120905754069","france","47.0","2.0","8587","travel counts"
"2024-11-12","312478709447704","portugal","38.7","-9.1833333333333","852597565113521","united kingdom","54.0","-2.0","6430","travel counts"
"2024-11-12","362070071076950","netherlands","52.316666666667","5.55","1080265735511471","spain","40.0","-3.0","4620","travel counts"
"2024-11-12","362070071076950","netherlands","52.316666666667","5.55","1231810770328071","poland","52.0","19.0","3347","travel counts"
"2024-11-12","362070071076950","netherlands","52.316666666667","5.55","937148070010051","united states","40.0","-100.0","3182","travel counts"
"2024-11-12","312478709447704","portugal","38.7","-9.1833333333333","2367165386637842","brazil","-11.0","-53.0","2696","travel counts"
"2024-11-12","362070071076950","netherlands","52.316666666667","5.55","351886962112263","italy","43.0","12.0","2346","travel counts"
"2024-11-12","312478709447704","portugal","38.7","-9.1833333333333","351886962112263","italy","43.0","12.0","1911","travel counts"
"2024-11-12","312478709447704","portugal","38.7","-9.1833333333333","937148070010051","united states","40.0","-100.0","1888","travel counts"
"2024-11-12","312478709447704","portugal","38.7","-9.1833333333333","1317763431707213","germany","51.0","10.0","1607","travel counts"
"2024-11-12","312478709447704","portugal","38.7","-9.1833333333333","425473528186094","switzerland","46.798562","8.231973","1539","travel counts"
"2024-11-12","362070071076950","netherlands","52.316666666667","5.55","314322742593141","denmark","56.0","10.0","1439","travel counts"
"2024-11-12","312478709447704","portugal","38.7","-9.1833333333333","362070071076950","netherlands","52.316666666667","5.55","1216","travel counts"
"2024-11-12","362070071076950","netherlands","52.316666666667","5.55","312478709447704","portugal","38.7","-9.1833333333333","1142","travel counts"
"2024-11-12","362070071076950","netherlands","52.316666666667","5.55","627913770953274","sweden","61.0","15.0","1103","travel counts"
"2024-11-12","312478709447704","portugal","38.7","-9.1833333333333","475814519825093","belgium","51.0","5.0","1063","travel counts"
"2024-11-12","1462081337261943","bhutan","27.45","90.5","417158592211893","india","21.0","77.0","4439","travel counts"
"2024-11-12","549126165612289","nepal","26.533333333333","86.733333333333","417158592211893","india","21.0","77.0","28951","travel counts"
"2024-11-12","2318040415151986","algeria","28.0","2.0","680120905754069","france","47.0","2.0","3455","travel counts"
"2024-11-12","2318040415151986","algeria","28.0","2.0","937148070010051","united states","40.0","-100.0","1531","travel counts"
"2024-11-12","2318040415151986","algeria","28.0","2.0","806572816378642","tunisia","34.0","9.0","1447","travel counts"
"2024-11-12","379833772609059","swaziland","-26.483333","31.433333","403586003810080","south africa","-29.0","24.0","1436","travel counts"
"2024-11-12","427725857796526","paraguay","-23.266667","-58.083333","2367165386637842","brazil","-11.0","-53.0","10191","travel counts"
"2024-11-12","427725857796526","paraguay","-23.266667","-58.083333","921744301497079","argentina","-34.0","-64.0","4477","travel counts"
"2024-11-12","2414720828591431","romania","46.0","25.0","616857608787515","hungary","47.0","19.0","7298","travel counts"
"2024-11-12","2414720828591431","romania","46.0","25.0","1317763431707213","germany","51.0","10.0","5727","travel counts"
