"ds","polygon1_id","polygon1_name","latitude1","longitude1","polygon2_id","polygon2_name","latitude2","longitude2","metric_value","metric_name"
"2024-11-13","413890222743884","palestine","31.625321","35.145264","420975545355368","jordan","31.016667","36.616667","7001","travel counts"
"2024-11-13","2318532835031803","lebanon","33.833333","35.766667","420975545355368","jordan","31.016667","36.616667","30973","travel counts"
"2024-11-13","851705715169048","saudi arabia","23.716667","44.116667","420975545355368","jordan","31.016667","36.616667","1489","travel counts"
"2024-11-13","419387851957862","egypt","26.0","29.0","597585864063467","united arab emirates","23.783333","54.0","1972","travel counts"
"2024-11-13","366682297538943","pakistan","29.0","69.0","597585864063467","united arab emirates","23.783333","54.0","3820","travel counts"
"2024-11-13","937148070010051","united states","40.0","-100.0","597585864063467","united arab emirates","23.783333","54.0","1699","travel counts"
"2024-11-13","343315869635106","philippines","11.333330555556","123.01666944444","597585864063467","united arab emirates","23.783333","54.0","2266","travel counts"
"2024-11-13","817571401952819","qatar","25.269535","51.212767","597585864063467","united arab emirates","23.783333","54.0","1808","travel counts"
"2024-11-13","376031519676735","bangladesh","24.016667","89.866667","597585864063467","united arab emirates","23.783333","54.0","1298","travel counts"
"2024-11-13","852597565113521","united kingdom","54.0","-2.0","597585864063467","united arab emirates","23.783333","54.0","3240","travel counts"
"2024-11-13","422079025311801","oman","20.233333","55.966667","597585864063467","united arab emirates","23.783333","54.0","2375","travel counts"
"2024-11-13","433497307408292","thailand","15.0","101.0","597585864063467","united arab emirates","23.783333","54.0","1035","travel counts"
"2024-11-13","851705715169048","saudi arabia","23.716667","44.116667","597585864063467","united arab emirates","23.783333","54.0","3503","travel counts"
"2024-11-13","417158592211893","india","21.0","77.0","597585864063467","united arab emirates","23.783333","54.0","8503","travel counts"
"2024-11-13","1317763431707213","germany","51.0","10.0","400835317162981","croatia","45.25","15.466667","1577","travel counts"
"2024-11-13","401821703703677","serbia","43.95","20.933333333333","400835317162981","croatia","45.25","15.466667","1533","travel counts"
"2024-11-13","2282619438622633","austria","48.0","14.0","400835317162981","croatia","45.25","15.466667","1512","travel counts"
"2024-11-13","384833669025234","slovenia","46.0","15.0","400835317162981","croatia","45.25","15.466667","4330","travel counts"
"2024-11-13","351886962112263","italy","43.0","12.0","400835317162981","croatia","45.25","15.466667","2245","travel counts"
"2024-11-13","321538001884900","bosnia and herzegovina","44.0","18.0","400835317162981","croatia","45.25","15.466667","4710","travel counts"
"2024-11-13","597585864063467","united arab emirates","23.783333","54.0","817571401952819","qatar","25.269535","51.212767","2165","travel counts"
"2024-11-13","937148070010051","united states","40.0","-100.0","817571401952819","qatar","25.269535","51.212767","1449","travel counts"
"2024-11-13","343315869635106","philippines","11.333330555556","123.01666944444","817571401952819","qatar","25.269535","51.212767","1002","travel counts"
"2024-11-13","851705715169048","saudi arabia","23.716667","44.116667","817571401952819","qatar","25.269535","51.212767","1688","travel counts"
"2024-11-13","417158592211893","india","21.0","77.0","817571401952819","qatar","25.269535","51.212767","1436","travel counts"
"2024-11-13","1317763431707213","germany","51.0","10.0","1231810770328071","poland","52.0","19.0","23554","travel counts"
"2024-11-13","680120905754069","france","47.0","2.0","1231810770328071","poland","52.0","19.0","1607","travel counts"
"2024-11-13","623759951440132","norway","61.0","8.0","1231810770328071","poland","52.0","19.0","1678","travel counts"
"2024-11-13","627913770953274","sweden","61.0","15.0","1231810770328071","poland","52.0","19.0","1539","travel counts"
"2024-11-13","314322742593141","denmark","56.0","10.0","1231810770328071","poland","52.0","19.0","1279","travel counts"
"2024-11-13","1080265735511471","spain","40.0","-3.0","1231810770328071","poland","52.0","19.0","3175","travel counts"
"2024-11-13","616857608787515","hungary","47.0","19.0","1231810770328071","poland","52.0","19.0","1884","travel counts"
"2024-11-13","571822773304405","lithuania","55.5","24.0","1231810770328071","poland","52.0","19.0","2556","travel counts"
"2024-11-13","2414720828591431","romania","46.0","25.0","1231810770328071","poland","52.0","19.0","1094","travel counts"
"2024-11-13","362070071076950","netherlands","52.316666666667","5.55","1231810770328071","poland","52.0","19.0","2667","travel counts"
"2024-11-13","833225000389252","slovakia","49.0","20.0","1231810770328071","poland","52.0","19.0","2906","travel counts"
"2024-11-13","2247289335332676","turkey","39.0","36.0","1231810770328071","poland","52.0","19.0","1128","travel counts"
"2024-11-13","852597565113521","united kingdom","54.0","-2.0","1231810770328071","poland","52.0","19.0","4393","travel counts"
"2024-11-13","2282619438622633","austria","48.0","14.0","1231810770328071","poland","52.0","19.0","2669","travel counts"
"2024-11-13","351886962112263","italy","43.0","12.0","1231810770328071","poland","52.0","19.0","3272","travel counts"
"2024-11-13","417045315510881","czech republic","50.0","16.0","1231810770328071","poland","52.0","19.0","6886","travel counts"
"2024-11-13","475814519825093","belgium","51.0","5.0","1231810770328071","poland","52.0","19.0","1069","travel counts"
"2024-11-13","680120905754069","france","47.0","2.0","1080265735511471","spain","40.0","-3.0","21970","travel counts"
"2024-11-13","312478709447704","portugal","38.7","-9.1833333333333","1080265735511471","spain","40.0","-3.0","14971","travel counts"
"2024-11-13","1317763431707213","germany","51.0","10.0","1080265735511471","spain","40.0","-3.0","6048","travel counts"
"2024-11-13","623759951440132","norway","61.0","8.0","1080265735511471","spain","40.0","-3.0","1928","travel counts"
"2024-11-13","627913770953274","sweden","61.0","15.0","1080265735511471","spain","40.0","-3.0","3045","travel counts"
"2024-11-13","937148070010051","united states","40.0","-100.0","1080265735511471","spain","40.0","-3.0","3889","travel counts"
"2024-11-13","314322742593141","denmark","56.0","10.0","1080265735511471","spain","40.0","-3.0","1735","travel counts"
"2024-11-13","1231810770328071","poland","52.0","19.0","1080265735511471","spain","40.0","-3.0","2314","travel counts"
"2024-11-13","425473528186094","switzerland","46.798562","8.231973","1080265735511471","spain","40.0","-3.0","1168","travel counts"
"2024-11-13","2414720828591431","romania","46.0","25.0","1080265735511471","spain","40.0","-3.0","1798","travel counts"
"2024-11-13","362070071076950","netherlands","52.316666666667","5.55","1080265735511471","spain","40.0","-3.0","3515","travel counts"
"2024-11-13","1693686944068084","ireland","53.4469834801","-7.08056729059","1080265735511471","spain","40.0","-3.0","2377","travel counts"
"2024-11-13","331955067734176","finland","64.0","26.0","1080265735511471","spain","40.0","-3.0","1352","travel counts"
"2024-11-13","852597565113521","united kingdom","54.0","-2.0","1080265735511471","spain","40.0","-3.0","23428","travel counts"
"2024-11-13","657349034710714","colombia","3.816667","-73.916667","1080265735511471","spain","40.0","-3.0","1539","travel counts"
"2024-11-13","351886962112263","italy","43.0","12.0","1080265735511471","spain","40.0","-3.0","9792","travel counts"
"2024-11-13","475814519825093","belgium","51.0","5.0","1080265735511471","spain","40.0","-3.0","3698","travel counts"
"2024-11-13","680120905754069","france","47.0","2.0","425473528186094","switzerland","46.798562","8.231973","27384","travel counts"
"2024-11-13","312478709447704","portugal","38.7","-9.1833333333333","425473528186094","switzerland","46.798562","8.231973","1235","travel counts"
"2024-11-13","1317763431707213","germany","51.0","10.0","425473528186094","switzerland","46.798562","8.231973","11516","travel counts"
"2024-11-13","1080265735511471","spain","40.0","-3.0","425473528186094","switzerland","46.798562","8.231973","1569","travel counts"
"2024-11-13","852597565113521","united kingdom","54.0","-2.0","425473528186094","switzerland","46.798562","8.231973","1191","travel counts"
"2024-11-13","2282619438622633","austria","48.0","14.0","425473528186094","switzerland","46.798562","8.231973","2163","travel counts"
"2024-11-13","351886962112263","italy","43.0","12.0","425473528186094","switzerland","46.798562","8.231973","13694","travel counts"
"2024-11-13","309198619756155","liechtenstein","47.145","9.553889","425473528186094","switzerland","46.798562","8.231973","1478","travel counts"
"2024-11-13","1317763431707213","germany","51.0","10.0","384833669025234","slovenia","46.0","15.0","1121","travel counts"
"2024-11-13","616857608787515","hungary","47.0","19.0","384833669025234","slovenia","46.0","15.0","1016","travel counts"
"2024-11-13","400835317162981","croatia","45.25","15.466667","384833669025234","slovenia","46.0","15.0","4639","travel counts"
"2024-11-13","2282619438622633","austria","48.0","14.0","384833669025234","slovenia","46.0","15.0","3866","travel counts"
"2024-11-13","351886962112263","italy","43.0","12.0","384833669025234","slovenia","46.0","15.0","3585","travel counts"
"2024-11-13","321538001884900","bosnia and herzegovina","44.0","18.0","384833669025234","slovenia","46.0","15.0","1163","travel counts"
"2024-11-13","1317763431707213","germany","51.0","10.0","731553183908171","kosovo","42.6","20.85","1065","travel counts"
"2024-11-13","401821703703677","serbia","43.95","20.933333333333","731553183908171","kosovo","42.6","20.85","2331","travel counts"
"2024-11-13","2272551262804931","albania","41.0","20.0","731553183908171","kosovo","42.6","20.85","1310","travel counts"
"2024-11-13","937148070010051","united states","40.0","-100.0","2272822426127539","puerto rico","18.25","-66.5","8845","travel counts"
"2024-11-13","2214566348625267","costa rica","10.0","-84.0","334673967182748","nicaragua","13.091380555556","-86.000988888889","1233","travel counts"
"2024-11-13","937148070010051","united states","40.0","-100.0","580903582315279","the bahamas","23.916667","-77.666667","5429","travel counts"
"2024-11-13","1317763431707213","germany","51.0","10.0","627913770953274","sweden","61.0","15.0","2904","travel counts"
"2024-11-13","623759951440132","norway","61.0","8.0","627913770953274","sweden","61.0","15.0","7039","travel counts"
"2024-11-13","314322742593141","denmark","56.0","10.0","627913770953274","sweden","61.0","15.0","9173","travel counts"
"2024-11-13","1231810770328071","poland","52.0","19.0","627913770953274","sweden","61.0","15.0","1779","travel counts"
"2024-11-13","1080265735511471","spain","40.0","-3.0","627913770953274","sweden","61.0","15.0","3429","travel counts"
"2024-11-13","331955067734176","finland","64.0","26.0","627913770953274","sweden","61.0","15.0","3452","travel counts"
"2024-11-13","852597565113521","united kingdom","54.0","-2.0","627913770953274","sweden","61.0","15.0","1569","travel counts"
"2024-11-13","921744301497079","argentina","-34.0","-64.0","427725857796526","paraguay","-23.266667","-58.083333","4404","travel counts"
"2024-11-13","2367165386637842","brazil","-11.0","-53.0","427725857796526","paraguay","-23.266667","-58.083333","9475","travel counts"
"2024-11-13","680120905754069","france","47.0","2.0","362070071076950","netherlands","52.316666666667","5.55","6474","travel counts"
"2024-11-13","312478709447704","portugal","38.7","-9.1833333333333","362070071076950","netherlands","52.316666666667","5.55","1357","travel counts"
"2024-11-13","1317763431707213","germany","51.0","10.0","362070071076950","netherlands","52.316666666667","5.55","29461","travel counts"
"2024-11-13","937148070010051","united states","40.0","-100.0","362070071076950","netherlands","52.316666666667","5.55","2482","travel counts"
"2024-11-13","314322742593141","denmark","56.0","10.0","362070071076950","netherlands","52.316666666667","5.55","1361","travel counts"
"2024-11-13","1231810770328071","poland","52.0","19.0","362070071076950","netherlands","52.316666666667","5.55","2902","travel counts"
"2024-11-13","1080265735511471","spain","40.0","-3.0","362070071076950","netherlands","52.316666666667","5.55","4662","travel counts"
"2024-11-13","2247289335332676","turkey","39.0","36.0","362070071076950","netherlands","52.316666666667","5.55","1166","travel counts"
"2024-11-13","852597565113521","united kingdom","54.0","-2.0","362070071076950","netherlands","52.316666666667","5.55","7825","travel counts"
"2024-11-13","351886962112263","italy","43.0","12.0","362070071076950","netherlands","52.316666666667","5.55","1806","travel counts"
"2024-11-13","475814519825093","belgium","51.0","5.0","362070071076950","netherlands","52.316666666667","5.55","30782","travel counts"
"2024-11-13","827650550921642","latvia","57.0","25.0","571822773304405","lithuania","55.5","24.0","1909","travel counts"
"2024-11-13","1231810770328071","poland","52.0","19.0","571822773304405","lithuania","55.5","24.0","2312","travel counts"
"2024-11-13","937148070010051","united states","40.0","-100.0","853970694951300","south korea","36.0","128.0","1894","travel counts"
"2024-11-13","711084376012350","vietnam","14.016666666667","107.9","853970694951300","south korea","36.0","128.0","3545","travel counts"
"2024-11-13","793335024385721","japan","35.0","136.0","853970694951300","south korea","36.0","128.0","4274","travel counts"
"2024-11-13","343315869635106","philippines","11.333330555556","123.01666944444","853970694951300","south korea","36.0","128.0","2346","travel counts"
"2024-11-13","463167797558589","taiwan","24.0","121.0","853970694951300","south korea","36.0","128.0","4817","travel counts"
"2024-11-13","433497307408292","thailand","15.0","101.0","853970694951300","south korea","36.0","128.0","2587","travel counts"
"2024-11-13","1983580781764432","peru","-8.0","-78.0","381900512398634","ecuador","-1.4666666666667","-78.816666666667","1896","travel counts"
"2024-11-13","937148070010051","united states","40.0","-100.0","381900512398634","ecuador","-1.4666666666667","-78.816666666667","3085","travel counts"
"2024-11-13","657349034710714","colombia","3.816667","-73.916667","381900512398634","ecuador","-1.4666666666667","-78.816666666667","5462","travel counts"
"2024-11-13","1046047628918648","dominican republic","19.0","-70.666667","290913558509638","haiti","19.1","-72.33","2510","travel counts"
"2024-11-13","680120905754069","france","47.0","2.0","475814519825093","belgium","51.0","5.0","31991","travel counts"
"2024-11-13","312478709447704","portugal","38.7","-9.1833333333333","475814519825093","belgium","51.0","5.0","1023","travel counts"
"2024-11-13","1231810770328071","poland","52.0","19.0","475814519825093","belgium","51.0","5.0","1460","travel counts"
"2024-11-13","1080265735511471","spain","40.0","-3.0","475814519825093","belgium","51.0","5.0","4542","travel counts"
"2024-11-13","404888597011746","luxembourg","49.77","6.13","475814519825093","belgium","51.0","5.0","9540","travel counts"
"2024-11-13","362070071076950","netherlands","52.316666666667","5.55","475814519825093","belgium","51.0","5.0","34236","travel counts"
"2024-11-13","401821703703677","serbia","43.95","20.933333333333","475814519825093","belgium","51.0","5.0","1159","travel counts"
"2024-11-13","852597565113521","united kingdom","54.0","-2.0","475814519825093","belgium","51.0","5.0","4431","travel counts"
"2024-11-13","351886962112263","italy","43.0","12.0","475814519825093","belgium","51.0","5.0","2138","travel counts"
"2024-11-13","1317763431707213","germany","51.0","10.0","475814519825093","belgium","51.0","5.0","11949","travel counts"
"2024-11-13","549126165612289","nepal","26.533333333333","86.733333333333","417158592211893","india","21.0","77.0","27884","travel counts"
"2024-11-13","1462081337261943","bhutan","27.45","90.5","417158592211893","india","21.0","77.0","4494","travel counts"
"2024-11-13","366682297538943","pakistan","29.0","69.0","417158592211893","india","21.0","77.0","3501","travel counts"
"2024-11-13","597585864063467","united arab emirates","23.783333","54.0","417158592211893","india","21.0","77.0","8581","travel counts"
"2024-11-13","937148070010051","united states","40.0","-100.0","417158592211893","india","21.0","77.0","2478","travel counts"
"2024-11-13","419634095534324","malaysia","2.316667","111.55","417158592211893","india","21.0","77.0","1825","travel counts"
"2024-11-13","346733206197678","indonesia","-0.8349","113.4668","417158592211893","india","21.0","77.0","1176","travel counts"
"2024-11-13","817571401952819","qatar","25.269535","51.212767","417158592211893","india","21.0","77.0","1602","travel counts"
"2024-11-13","810648062654687","canada","56.0","-109.0","417158592211893","india","21.0","77.0","1672","travel counts"
"2024-11-13","1246147782210951","australia","-25.0","135.0","417158592211893","india","21.0","77.0","1184","travel counts"
"2024-11-13","376031519676735","bangladesh","24.016667","89.866667","417158592211893","india","21.0","77.0","17462","travel counts"
"2024-11-13","852597565113521","united kingdom","54.0","-2.0","417158592211893","india","21.0","77.0","2892","travel counts"
"2024-11-13","433497307408292","thailand","15.0","101.0","417158592211893","india","21.0","77.0","3425","travel counts"
"2024-11-13","851705715169048","saudi arabia","23.716667","44.116667","417158592211893","india","21.0","77.0","3056","travel counts"
"2024-11-13","1317763431707213","germany","51.0","10.0","419387851957862","egypt","26.0","29.0","1644","travel counts"
"2024-11-13","597585864063467","united arab emirates","23.783333","54.0","419387851957862","egypt","26.0","29.0","1558","travel counts"
"2024-11-13","852597565113521","united kingdom","54.0","-2.0","419387851957862","egypt","26.0","29.0","2289","travel counts"
"2024-11-13","851705715169048","saudi arabia","23.716667","44.116667","419387851957862","egypt","26.0","29.0","7054","travel counts"
"2024-11-13","351886962112263","italy","43.0","12.0","419387851957862","egypt","26.0","29.0","1432","travel counts"
"2024-11-13","1317763431707213","germany","51.0","10.0","351785358793117","greece","39.0","22.0","1166","travel counts"
"2024-11-13","535485520310127","cyprus","35.0","33.0","351785358793117","greece","39.0","22.0","1140","travel counts"
"2024-11-13","2247289335332676","turkey","39.0","36.0","351785358793117","greece","39.0","22.0","4899","travel counts"
"2024-11-13","407219260067826","bulgaria","42.75","25.5","351785358793117","greece","39.0","22.0","2822","travel counts"
"2024-11-13","852597565113521","united kingdom","54.0","-2.0","351785358793117","greece","39.0","22.0","2129","travel counts"
"2024-11-13","351886962112263","italy","43.0","12.0","351785358793117","greece","39.0","22.0","2136","travel counts"
"2024-11-13","2272551262804931","albania","41.0","20.0","351785358793117","greece","39.0","22.0","1544","travel counts"
"2024-11-13","937148070010051","united states","40.0","-100.0","1212072302300528","guatemala","15.5","-90.25","2442","travel counts"
"2024-11-13","414218989431133","honduras","14.633333","-86.816667","1212072302300528","guatemala","15.5","-90.25","1256","travel counts"
"2024-11-13","661116984348270","el salvador","13.668889","-88.866111","1212072302300528","guatemala","15.5","-90.25","2678","travel counts"
"2024-11-13","711084376012350","vietnam","14.016666666667","107.9","365511357395737","laos","19.366667","102.566667","5282","travel counts"
"2024-11-13","433497307408292","thailand","15.0","101.0","365511357395737","laos","19.366667","102.566667","22355","travel counts"
"2024-11-13","1983580781764432","peru","-8.0","-78.0","345922999375723","bolivia","-17.056869611111","-64.991228611111","1949","travel counts"
"2024-11-13","921744301497079","argentina","-34.0","-64.0","345922999375723","bolivia","-17.056869611111","-64.991228611111","2438","travel counts"
"2024-11-13","2367165386637842","brazil","-11.0","-53.0","345922999375723","bolivia","-17.056869611111","-64.991228611111","1556","travel counts"
"2024-11-13","2103842606572854","chile","-31.0","-71.0","345922999375723","bolivia","-17.056869611111","-64.991228611111","1380","travel counts"
"2024-11-13","417158592211893","india","21.0","77.0","549126165612289","nepal","26.533333333333","86.733333333333","30916","travel counts"
"2024-11-13","711084376012350","vietnam","14.016666666667","107.9","642311629554632","cambodia","12.733333","105.666667","10177","travel counts"
"2024-11-13","433497307408292","thailand","15.0","101.0","642311629554632","cambodia","12.733333","105.666667","18509","travel counts"
