"ds","polygon1_id","polygon1_name","latitude1","longitude1","polygon2_id","polygon2_name","latitude2","longitude2","metric_value","metric_name"
"2024-11-10","827650550921642","latvia","57.0","25.0","505239163341639","estonia","59.0","26.0","1630","travel counts"
"2024-11-10","793335024385721","japan","35.0","136.0","1246147782210951","australia","-25.0","135.0","1478","travel counts"
"2024-11-10","419634095534324","malaysia","2.316667","111.55","1246147782210951","australia","-25.0","135.0","1296","travel counts"
"2024-11-10","2419372088349100","iraq","33.0","43.0","2247289335332676","turkey","39.0","36.0","2543","travel counts"
"2024-11-10","937148070010051","united states","40.0","-100.0","2247289335332676","turkey","39.0","36.0","1821","travel counts"
"2024-11-10","417158592211893","india","21.0","77.0","376031519676735","bangladesh","24.016667","89.866667","21099","travel counts"
"2024-11-10","1317763431707213","germany","51.0","10.0","616857608787515","hungary","47.0","19.0","4133","travel counts"
"2024-11-10","366682297538943","pakistan","29.0","69.0","376031519676735","bangladesh","24.016667","89.866667","1749","travel counts"
"2024-11-10","417045315510881","czech republic","50.0","16.0","616857608787515","hungary","47.0","19.0","2190","travel counts"
"2024-11-10","851705715169048","saudi arabia","23.716667","44.116667","376031519676735","bangladesh","24.016667","89.866667","2411","travel counts"
"2024-11-10","2367165386637842","brazil","-11.0","-53.0","376031519676735","bangladesh","24.016667","89.866667","2069","travel counts"
"2024-11-10","419634095534324","malaysia","2.316667","111.55","376031519676735","bangladesh","24.016667","89.866667","1138","travel counts"
"2024-11-10","921744301497079","argentina","-34.0","-64.0","376031519676735","bangladesh","24.016667","89.866667","1197","travel counts"
"2024-11-10","852597565113521","united kingdom","54.0","-2.0","616857608787515","hungary","47.0","19.0","2148","travel counts"
"2024-11-10","597585864063467","united arab emirates","23.783333","54.0","376031519676735","bangladesh","24.016667","89.866667","1426","travel counts"
"2024-11-10","2247289335332676","turkey","39.0","36.0","376031519676735","bangladesh","24.016667","89.866667","1256","travel counts"
"2024-11-10","711084376012350","vietnam","14.016666666667","107.9","376031519676735","bangladesh","24.016667","89.866667","1138","travel counts"
"2024-11-10","1231810770328071","poland","52.0","19.0","616857608787515","hungary","47.0","19.0","1598","travel counts"
"2024-11-10","346733206197678","indonesia","-0.8349","113.4668","376031519676735","bangladesh","24.016667","89.866667","4200","travel counts"
"2024-11-10","833225000389252","slovakia","49.0","20.0","616857608787515","hungary","47.0","19.0","6800","travel counts"
"2024-11-10","1080265735511471","spain","40.0","-3.0","616857608787515","hungary","47.0","19.0","1302","travel counts"
"2024-11-10","351886962112263","italy","43.0","12.0","616857608787515","hungary","47.0","19.0","2948","travel counts"
"2024-11-10","401821703703677","serbia","43.95","20.933333333333","616857608787515","hungary","47.0","19.0","4654","travel counts"
"2024-11-10","400835317162981","croatia","45.25","15.466667","616857608787515","hungary","47.0","19.0","1439","travel counts"
"2024-11-10","937148070010051","united states","40.0","-100.0","2318040415151986","algeria","28.0","2.0","1413","travel counts"
"2024-11-10","403586003810080","south africa","-29.0","24.0","379833772609059","swaziland","-26.483333","31.433333","1495","travel counts"
"2024-11-10","680120905754069","france","47.0","2.0","2318040415151986","algeria","28.0","2.0","3182","travel counts"
"2024-11-10","806572816378642","tunisia","34.0","9.0","2318040415151986","algeria","28.0","2.0","1905","travel counts"
"2024-11-10","393732134690462","lesotho","-29.55","28.25","403586003810080","south africa","-29.0","24.0","1468","travel counts"
"2024-11-10","731231627319111","zimbabwe","-19.016667","30.016667","403586003810080","south africa","-29.0","24.0","1277","travel counts"
"2024-11-10","420975545355368","jordan","31.016667","36.616667","413890222743884","palestine","31.625321","35.145264","21500","travel counts"
"2024-11-10","680120905754069","france","47.0","2.0","404888597011746","luxembourg","49.77","6.13","7375","travel counts"
"2024-11-10","937148070010051","united states","40.0","-100.0","661116984348270","el salvador","13.668889","-88.866111","2829","travel counts"
"2024-11-10","351785358793117","greece","39.0","22.0","2272551262804931","albania","41.0","20.0","2241","travel counts"
"2024-11-10","731553183908171","kosovo","42.6","20.85","2272551262804931","albania","41.0","20.0","2810","travel counts"
"2024-11-10","2230412020541290","montenegro","42.766667","19.216667","2272551262804931","albania","41.0","20.0","1187","travel counts"
"2024-11-10","1317763431707213","germany","51.0","10.0","425473528186094","switzerland","46.798562","8.231973","17266","travel counts"
"2024-11-10","1080265735511471","spain","40.0","-3.0","425473528186094","switzerland","46.798562","8.231973","2281","travel counts"
"2024-11-10","921744301497079","argentina","-34.0","-64.0","345922999375723","bolivia","-17.056869611111","-64.991228611111","1987","travel counts"
"2024-11-10","1983580781764432","peru","-8.0","-78.0","345922999375723","bolivia","-17.056869611111","-64.991228611111","2459","travel counts"
"2024-11-10","937148070010051","united states","40.0","-100.0","425473528186094","switzerland","46.798562","8.231973","1178","travel counts"
"2024-11-10","852597565113521","united kingdom","54.0","-2.0","425473528186094","switzerland","46.798562","8.231973","1218","travel counts"
"2024-11-10","680120905754069","france","47.0","2.0","425473528186094","switzerland","46.798562","8.231973","23287","travel counts"
"2024-11-10","312478709447704","portugal","38.7","-9.1833333333333","425473528186094","switzerland","46.798562","8.231973","1747","travel counts"
"2024-11-10","351886962112263","italy","43.0","12.0","425473528186094","switzerland","46.798562","8.231973","14293","travel counts"
"2024-11-10","1317763431707213","germany","51.0","10.0","404888597011746","luxembourg","49.77","6.13","5109","travel counts"
"2024-11-10","475814519825093","belgium","51.0","5.0","404888597011746","luxembourg","49.77","6.13","6071","travel counts"
"2024-11-10","334673967182748","nicaragua","13.091380555556","-86.000988888889","2214566348625267","costa rica","10.0","-84.0","1754","travel counts"
"2024-11-10","937148070010051","united states","40.0","-100.0","2367165386637842","brazil","-11.0","-53.0","3501","travel counts"
"2024-11-10","312478709447704","portugal","38.7","-9.1833333333333","2367165386637842","brazil","-11.0","-53.0","2220","travel counts"
"2024-11-10","417158592211893","india","21.0","77.0","346733206197678","indonesia","-0.8349","113.4668","1378","travel counts"
"2024-11-10","1246147782210951","australia","-25.0","135.0","346733206197678","indonesia","-0.8349","113.4668","4271","travel counts"
"2024-11-10","433497307408292","thailand","15.0","101.0","346733206197678","indonesia","-0.8349","113.4668","3900","travel counts"
"2024-11-10","711084376012350","vietnam","14.016666666667","107.9","346733206197678","indonesia","-0.8349","113.4668","1325","travel counts"
"2024-11-10","343315869635106","philippines","11.333330555556","123.01666944444","346733206197678","indonesia","-0.8349","113.4668","1529","travel counts"
"2024-11-10","419634095534324","malaysia","2.316667","111.55","346733206197678","indonesia","-0.8349","113.4668","12818","travel counts"
"2024-11-10","793335024385721","japan","35.0","136.0","346733206197678","indonesia","-0.8349","113.4668","1497","travel counts"
"2024-11-10","851705715169048","saudi arabia","23.716667","44.116667","346733206197678","indonesia","-0.8349","113.4668","2661","travel counts"
"2024-11-10","853970694951300","south korea","36.0","128.0","346733206197678","indonesia","-0.8349","113.4668","1065","travel counts"
"2024-11-10","463167797558589","taiwan","24.0","121.0","346733206197678","indonesia","-0.8349","113.4668","2388","travel counts"
"2024-11-10","376031519676735","bangladesh","24.016667","89.866667","346733206197678","indonesia","-0.8349","113.4668","4175","travel counts"
"2024-11-10","407219260067826","bulgaria","42.75","25.5","351785358793117","greece","39.0","22.0","2827","travel counts"
"2024-11-10","1317763431707213","germany","51.0","10.0","351785358793117","greece","39.0","22.0","1695","travel counts"
"2024-11-10","433497307408292","thailand","15.0","101.0","343315869635106","philippines","11.333330555556","123.01666944444","2432","travel counts"
"2024-11-10","852597565113521","united kingdom","54.0","-2.0","351785358793117","greece","39.0","22.0","2161","travel counts"
"2024-11-10","851705715169048","saudi arabia","23.716667","44.116667","343315869635106","philippines","11.333330555556","123.01666944444","3131","travel counts"
"2024-11-10","2272551262804931","albania","41.0","20.0","351785358793117","greece","39.0","22.0","2079","travel counts"
