"latitude","longitude","quadkey","country","date_time","n_baseline","n_crisis","n_difference","density_baseline","density_crisis","percent_change","z_score","ds"
"39.90130806741598","-1.3732910156249998","03311113000001","ES","2024-10-31 16:00","40.42562132721623","29.303966998621227","-11.121654328595","0.0001667498140763645","0.00012069080132620848","-26.84728429477576","-1.06689618604657","2024-10-31"
"38.88248068286238","-0.47241210937500006","03311113323210","ES","2024-10-31 16:00","10.224046953919165","","","","","","","2024-10-31"
"39.15562187769409","-0.560302734375","03311113302310","ES","2024-10-31 16:00","","13.671811026925015","","","","","","2024-10-31"
"38.88248068286238","-0.098876953125","03311113333211","ES","2024-10-31 16:00","30.45855559801257","29.97783008103615","-0.4807255169764204","0.00012563711617176403","0.00012346616192515511","-1.5281232969475267","-0.1981532588572336","2024-10-31"
"38.84826387414438","0.032958984375","12200002222221","ES","2024-10-31 16:00","110.49664664305689","94.35057970781703","-16.14606693523986","0.0004557826120878147","0.0003885906324923353","-14.481213042155025","-1.4050777992826988","2024-10-31"
"40.00237141721941","-0.274658203125","03311111332031","ES","2024-10-31 16:00","29.086819008585294","29.80432302252704","0.7175040139417455","0.0001199789020555904","0.00012275155881601965","2.384778576083451","0.3026060323402081","2024-10-31"
"39.03625244435651","-0.582275390625","03311113320123","ES","2024-10-31 16:00","17.02540140962674","21.55567780988761","4.53027640026087","7.022730700045939e-05","8.877883421474342e-05","25.132735173605663","2.0580497310462262","2024-10-31"
"39.05331759139647","-2.208251953125","03311112231031","ES","2024-10-31 16:00","40.46474434998815","41.66703554374214","1.202291193753986","0.00016691119086066964","0.00017160911725359434","2.8995504798146174","0.1904483409249372","2024-10-31"
"38.77978086376416","-0.34057617187499994","03311131110020","ES","2024-10-31 16:00","16.759801816733898","16.923400903885593","0.16359908715169524","6.913174727176272e-05","6.970042029977491e-05","0.9211763106362287","0.04924472637720246","2024-10-31"
"39.71563761708012","-0.230712890625","03311113112123","ES","2024-10-31 16:00","35.11809295054168","31.28891267753656","-3.8291802730051216","0.000144857030713758","0.00012886596356920983","-10.601834039932868","-1.0819491180281362","2024-10-31"
"38.65977721690729","-0.010986328125","03311131113113","ES","2024-10-31 16:00","21.7682483152913","","","","","","","2024-10-31"
"39.01918317507621","-1.8566894531250002","03311112321211","ES","2024-10-31 16:00","285.812034649634","268.1028745156352","-17.70916013399875","0.0011789331140478426","0.0011042037675197485","-6.174482934662083","-0.44554705117411153","2024-10-31"
"38.72837540415917","-0.516357421875","03311131101202","ES","2024-10-31 16:00","10.345284072315","","","","","","","2024-10-31"
"39.951858408134946","-0.12084960937500001","03311111333212","ES","2024-10-31 16:00","189.62643456577402","193.84897913499432","4.222544569220304","0.0007821814896019591","0.0007983829844324736","2.215088677936402","0.2939589810520902","2024-10-31"
"39.867587106288916","-0.450439453125","03311113101031","ES","2024-10-31 16:00","36.21483416988042","32.468263075517086","-3.7465710943633326","0.00014938092888552209","0.000133723215305241","-10.067413110752472","-0.5873873462660676","2024-10-31"
"39.951858408134946","-0.560302734375","03311111322312","ES","2024-10-31 16:00","31.80363748148832","28.894872706510732","-2.9087647749775876","0.00013118538349885306","0.000119005912794389","-8.867201927283386","-0.2975619291883588","2024-10-31"
"39.121536946817415","-1.461181640625","03311112313321","ES","2024-10-31 16:00","","11.0","","","","","","2024-10-31"
"39.07037861567813","-0.428466796875","03311113321102","ES","2024-10-31 16:00","22.875992806326753","18.002450673099606","-4.873542133227147","9.43601464128669e-05","7.414457563626663e-05","-20.411893121092486","-0.990921388870711","2024-10-31"
"39.512516499578055","-0.626220703125","03311113120233","ES","2024-10-31 16:00","10.534821140785153","","","","","","","2024-10-31"
"39.61415155963188","-0.428466796875","03311113121102","ES","2024-10-31 16:00","28.51560296319598","28.4657357896773","-0.049867173518681085","0.00011762271886683685","0.00011723847706209643","-0.16895190513594513","-0.03753309732952456","2024-10-31"
"39.308799779710654","-0.494384765625","03311113301023","ES","2024-10-31 16:00","10.58932692256613","","","","","","","2024-10-31"
"39.42770686793681","-0.318603515625","03311113132201","ES","2024-10-31 16:00","160.07207081996572","199.9911852557198","39.919114435754096","0.0006602740334402174","0.0008236801661640795","24.783386860638732","2.833108903721405","2024-10-31"
"39.74943317395265","-0.25268554687500006","03311113112102","ES","2024-10-31 16:00","53.31650932558403","60.44631301021017","7.12980368462614","0.0002199228540058683","0.0002489531180116445","13.126402585793336","2.632057786197634","2024-10-31"
"38.64261739260935","-0.142822265625","03311131113021","ES","2024-10-31 16:00","86.42265644591916","79.09874973448677","-7.323906711432386","0.00035648090050852176","0.0003257747147273814","-8.377584266114189","-2.1225472633002265","2024-10-31"
"38.91668102155377","-0.098876953125","03311113333031","ES","2024-10-31 16:00","215.4929503699388","204.17717106129848","-11.315779308640316","0.0008888771088538015","0.0008409204934289578","-5.226858098291026","-0.6655703285243759","2024-10-31"
"39.7663247386586","-0.142822265625","03311113113001","ES","2024-10-31 16:00","43.843170392097136","26.532724249421605","-17.31044614267553","0.00018084670739441675","0.00010927720984604868","-38.602190682142776","-0.7993438988774269","2024-10-31"
"39.71563761708012","-0.274658203125","03311113112033","ES","2024-10-31 16:00","49.930478255287774","51.32319760641781","1.392719351130033","0.00020595596783586979","0.00021137881591367318","2.7345499175347645","0.5505544999775792","2024-10-31"
"39.08743551668511","-0.692138671875","03311113320000","ES","2024-10-31 16:00","27.028305683746698","26.323085795824934","-0.7052198879217642","0.00011148783369544971","0.00010841379661074985","-2.5160988890267215","-0.18268462316643463","2024-10-31"
